X,Y
1119,114
1115,114
1113,114
1111,115
1108,115
1107,115
1106,115
1105,115
1104,115
1102,116
1099,116
1098,117
1096,117
1094,117
1093,117
1091,117
1089,118
1088,118
1087,118
1085,118
1083,118
1082,118
1080,118
1078,118
1075,118
1073,118
1070,118
1068,118
1066,118
1065,119
1063,119
1061,120
1059,120
1057,120
1056,120
1054,120
1053,120
1051,120
1050,120
1049,120
1048,120
1047,120
1046,120
1045,120
1043,120
1042,120
1041,120
1040,120
1039,119
1038,119
1037,119
1036,119
1035,119
1035,118
1034,118
1033,118
1032,118
1031,118
1030,118
1029,118
1028,118
1026,118
1025,118
1024,118
1023,118
1021,118
1020,118
1019,118
1018,118
1016,118
1013,118
1012,118
1011,118
1010,118
1010,117
1009,117
1008,117
1007,117
1006,117
1005,117
1005,118
1005,119
1004,119
1004,120
1004,121
1004,122
1004,123
1004,124
1004,125
1004,126
1004,127
1003,127
1003,128
1003,129
1003,130
1003,131
1003,133
1003,134
1003,135
1003,137
1003,138
1003,140
1003,141
1004,142
1004,143
1004,144
1004,145
1004,146
1004,148
1004,149
1004,150
1004,152
1004,153
1004,154
1004,155
1004,156
1003,158
1003,159
1003,160
1003,163
1003,165
1003,167
1002,169
1002,170
1002,172
1002,174
1001,175
1001,177
1001,179
1001,183
1001,185
1001,187
1001,190
1001,192
1001,193
1001,194
1001,195
1001,197
1001,198
1001,200
1001,201
1000,203
1000,204
1000,206
1000,207
1000,209
1000,210
1000,211
999,212
999,213
999,214
999,215
999,216
999,217
999,218
999,219
999,221
999,222
999,223
999,225
999,226
999,227
999,228
999,230
999,231
999,232
999,233
999,234
999,236
999,237
999,238
999,240
999,241
999,242
999,244
999,246
999,247
999,249
999,250
999,251
999,252
999,254
999,255
999,256
999,257
999,258
999,259
999,260
999,261
999,262
999,263
999,264
999,265
999,267
999,269
999,270
999,271
999,272
999,273
999,274
999,275
999,276
999,277
999,279
999,280
999,281
999,282
999,283
999,284
999,285
1000,285
1000,286
1000,287
1000,288
1000,289
1000,290
998,290
997,290
996,290
995,290
994,290
993,290
992,290
990,290
987,290
986,291
985,291
983,291
982,292
981,292
980,293
979,293
977,293
976,293
974,293
973,293
972,293
970,293
968,293
966,293
964,293
963,293
962,293
958,293
957,293
956,293
954,293
950,294
948,294
947,294
946,294
945,294
943,294
941,294
940,294
939,294
937,294
936,294
935,294
934,294
933,294
932,294
930,294
929,295
928,295
927,295
926,295
925,295
923,295
922,295
921,295
920,295
919,295
917,295
914,295
913,295
911,295
910,296
908,297
907,297
906,297
903,298
902,298
900,298
898,298
897,298
895,298
892,298
891,298
889,298
887,299
885,299
884,299
883,299
882,299
881,299
880,299
879,299
878,299
876,299
875,299
874,299
873,299
872,299
871,299
869,299
867,299
866,299
865,299
863,299
862,299
861,299
859,299
857,299
854,299
853,299
852,299
850,299
849,299
848,299
847,299
846,299
845,299
844,299
843,299
842,299
841,299
840,299
839,299
838,299
837,299
836,299
835,299
834,299
833,299
832,298
830,298
829,298
829,297
827,297
826,297
825,297
824,297
823,297
821,297
820,297
819,297
818,297
817,297
815,296
813,296
812,296
811,295
809,295
808,295
806,295
805,294
803,294
800,294
799,294
798,294
797,294
796,294
794,294
792,294
790,294
788,294
786,294
783,294
782,294
781,294
779,294
773,294
771,294
770,294
769,294
768,294
767,294
764,294
763,294
762,294
761,294
760,294
758,294
757,294
755,294
754,294
752,294
751,294
750,294
748,294
747,294
746,294
745,294
743,294
742,294
741,294
740,294
739,294
738,294
737,294
736,293
735,293
734,293
733,293
732,293
731,293
730,293
729,293
727,293
726,293
725,293
724,293
723,293
722,293
721,293
720,293
719,293
717,293
716,293
715,293
714,293
713,293
711,293
710,293
709,293
704,293
703,293
702,293
700,293
699,293
696,293
695,293
692,293
691,293
689,293
688,293
687,293
686,293
685,293
684,293
682,293
680,293
678,293
677,293
676,293
674,293
673,293
672,293
670,293
669,293
668,293
666,293
663,293
662,293
660,293
657,292
654,291
652,290
651,289
650,288
648,288
646,287
644,287
644,286
643,286
641,286
640,286
640,285
639,285
637,285
636,285
635,285
634,284
633,284
632,284
632,283
631,282
630,282
630,280
630,279
629,277
629,275
629,274
629,273
629,272
629,271
629,270
629,269
629,268
629,267
629,266
629,265
629,264
629,263
629,262
629,261
629,260
629,259
629,258
629,256
629,255
629,253
629,252
629,251
628,250
628,249
627,245
627,243
627,241
627,240
627,239
626,238
626,237
626,235
626,234
626,232
626,230
626,229
626,226
626,224
626,222
626,220
625,218
624,216
624,212
624,211
624,208
624,206
624,203
624,200
624,198
624,197
624,196
624,195
624,193
624,191
624,190
624,189
624,188
624,187
624,186
624,184
624,183
624,182
624,181
624,179
624,178
624,177
624,175
624,174
624,173
624,172
624,171
624,170
624,169
624,167
624,166
623,164
622,163
622,162
621,161
621,160
621,159
621,158
621,157
621,156
621,155
621,154
621,153
621,152
621,151
621,150
621,148
621,147
621,146
621,144
620,143
620,142
620,141
620,140
620,138
620,136
620,134
620,133
620,132
620,130
620,128
620,126
619,126
619,124
619,123
618,122
618,121
618,120
617,119
617,117
617,116
617,115
616,113
616,112
616,111
615,111
615,110
615,109
614,109
613,109
612,109
611,109
610,109
609,109
608,109
607,109
606,109
605,109
604,109
603,109
602,109
601,109
599,109
598,109
596,110
596,111
595,111
594,111
593,111
592,111
591,111
590,111
589,111
588,111
587,111
586,111
584,111
583,111
582,111
581,111
580,111
578,111
577,111
576,111
575,111
574,111
573,111
570,111
569,111
568,111
566,111
565,111
564,111
563,111
562,111
560,111
559,111
558,111
556,111
553,112
551,112
548,112
546,112
545,112
544,112
542,112
541,112
538,112
535,112
532,112
531,112
529,112
528,112
527,112
526,112
525,112
524,112
523,112
522,112
521,112
520,112
519,112
516,112
514,112
513,112
512,112
511,112
510,112
509,112
508,112
507,112
505,112
504,112
503,112
502,112
501,112
500,112
499,112
498,112
497,112
495,112
494,112
492,112
490,112
489,112
488,112
487,112
486,112
485,112
484,112
483,112
481,112
480,112
478,112
476,112
475,112
474,112
473,112
472,112
471,112
470,112
469,112
467,112
466,112
465,112
464,112
463,112
462,112
461,112
460,111
459,111
458,111
457,111
456,111
455,111
453,111
452,111
451,111
450,111
449,111
448,111
446,111
445,111
444,111
442,111
440,110
439,110
438,110
437,110
436,110
435,110
433,110
432,110
431,110
430,110
428,110
427,110
426,110
425,110
424,110
423,110
421,110
416,110
415,110
414,110
413,110
412,110
409,110
408,110
407,110
405,110
404,110
403,110
402,110
401,110
400,110
398,110
397,110
396,110
395,110
391,110
390,110
389,110
388,110
387,110
386,109
385,109
384,109
383,109
379,109
378,109
377,109
376,109
374,109
373,109
372,109
371,109
370,109
369,109
368,109
366,109
365,109
363,109
362,109
361,109
359,109
357,109
354,109
353,109
352,109
351,109
349,109
347,109
346,109
344,109
342,109
341,109
339,109
338,109
336,109
335,109
334,109
333,109
332,109
331,109
330,109
329,109
328,109
327,109
326,109
325,109
323,109
322,109
321,109
320,109
319,109
318,109
317,109
315,109
314,109
312,109
311,109
310,109
308,109
307,108
305,108
304,108
302,108
301,108
299,108
298,108
297,108
295,108
294,108
293,108
291,108
289,108
288,108
287,108
286,108
285,108
284,108
282,108
281,108
280,108
279,108
277,109
276,109
275,109
274,109
272,109
271,109
270,109
267,109
266,109
264,109
262,109
260,109
259,109
258,109
257,110
256,110
255,110
255,111
253,111
252,111
251,111
250,111
249,112
248,112
247,112
246,112
245,112
244,112
243,112
242,112
241,112
238,112
238,113
237,113
236,113
235,113
234,113
233,113
232,113
230,113
228,113
227,113
225,113
223,113
222,113
221,113
220,113
219,113
218,113
217,113
215,112
214,112
213,112
212,112
211,112
210,112
208,112
206,112
206,111
205,111
204,111
203,111
202,111
200,111
199,110
197,110
196,110
195,110
195,109
196,109
196,108
197,108
198,108
199,108
200,108
201,108
201,109
201,111
201,112
201,113
201,114
201,115
201,116
201,117
201,119
200,119
200,120
200,121
200,122
200,123
200,124
199,124
199,125
199,126
199,127
199,128
199,129
199,130
199,131
199,132
198,132
198,135
198,137
198,138
198,139
198,141
198,142
198,144
198,145
198,146
198,147
198,148
198,149
198,150
197,150
197,151
197,153
197,154
197,155
197,156
197,157
197,159
197,160
197,161
197,162
197,163
197,165
197,166
196,166
196,168
196,169
196,170
196,172
196,173
195,174
195,175
195,176
195,178
194,179
194,180
194,181
194,182
194,183
194,184
194,186
193,186
193,187
193,188
193,189
193,190
193,191
192,192
192,193
192,194
192,195
192,196
192,197
192,198
192,199
192,200
192,201
192,202
192,203
192,204
192,206
192,207
192,208
192,210
192,211
192,212
192,213
192,214
192,215
192,216
192,217
192,218
192,219
192,220
192,221
192,222
192,223
192,224
192,225
192,226
192,227
192,228
192,229
192,231
192,232
192,233
192,234
193,234
193,235
193,236
193,237
193,238
193,239
193,240
193,241
193,243
193,244
193,245
193,246
193,247
193,248
194,249
194,250
194,252
194,253
194,254
194,256
195,256
195,258
195,260
196,260
196,261
196,262
196,263
196,264
196,266
196,267
196,269
196,270
196,271
196,272
196,273
196,274
196,275
196,276
196,277
196,278
196,279
197,279
197,280
197,281
197,282
197,283
197,284
197,285
198,286
198,287
198,288
199,288
199,289
199,290
199,291
199,292
199,293
199,294
199,295
199,296
199,297
199,298
200,299
200,300
200,301
200,302
201,303
201,304
202,305
202,306
202,307
202,309
203,310
204,311
205,312
205,313
205,314
205,315
206,315
206,316
207,316
207,317
207,318
207,319
207,320
207,321
207,322
207,324
207,325
207,326
207,327
207,328
207,329
207,330
207,333
207,335
207,336
207,337
207,338
207,339
207,340
207,341
207,342
207,343
207,344
207,345
207,346
207,347
207,348
207,349
206,350
206,351
206,352
206,353
206,354
206,355
206,356
206,357
205,357
205,358
205,359
205,360
204,361
204,362
204,363
203,363
203,364
203,365
203,366
202,367
202,368
201,369
201,370
201,371
200,371
200,372
200,373
200,374
200,375
200,376
200,377
200,379
200,380
201,380
202,380
203,380
204,380
205,380
206,380
207,380
208,380
209,379
210,379
211,379
212,379
213,379
214,379
216,379
217,379
219,379
221,380
222,380
223,381
224,381
225,381
226,381
227,381
228,381
229,381
230,381
232,381
234,381
235,381
237,381
238,381
239,382
240,382
242,382
243,382
244,382
245,382
246,382
247,382
248,382
249,382
250,382
250,383
251,383
251,384
252,384
253,384
256,384
257,384
258,384
259,384
261,384
263,384
264,384
265,384
266,384
267,384
268,384
269,384
270,384
271,384
273,384
274,384
275,384
276,384
277,384
278,384
279,384
280,384
281,384
282,384
283,384
284,384
285,384
286,384
287,384
288,384
289,384
290,384
291,384
292,384
293,384
294,384
296,384
297,384
299,384
299,385
300,385
302,385
303,386
305,386
307,387
308,387
310,387
311,387
313,387
314,387
317,387
319,387
320,387
321,387
322,387
323,387
324,387
325,387
327,387
327,388
328,388
329,388
330,388
331,388
332,388
333,388
334,388
335,388
336,388
337,388
338,388
339,388
340,388
342,388
343,389
344,389
346,389
349,390
350,390
352,391
352,392
353,392
354,392
355,392
355,393
355,394
356,394
357,395
357,396
357,397
358,397
358,399
358,400
358,401
358,402
359,402
359,403
359,404
359,405
360,405
360,406
361,406
361,407
362,407
363,408
363,409
364,409
365,410
365,411
366,412
367,412
367,413
368,413
368,414
370,415
371,415
371,416
372,416
372,417
373,417
374,417
376,417
377,417
378,417
380,417
381,417
382,417
383,417
384,417
385,417
385,416
386,416
387,416
388,416
389,415
390,415
391,415
392,415
393,415
394,415
395,415
396,415
397,414
398,413
399,413
400,413
401,413
402,413
403,413
405,413
406,413
407,412
408,412
409,412
410,412
411,412
412,412
414,412
416,412
417,412
418,412
419,412
420,412
421,412
423,412
424,412
425,413
426,413
426,414
427,414
429,414
430,415
431,415
432,415
433,415
436,415
438,416
439,416
440,416
441,416
442,417
443,417
444,417
447,417
448,417
451,417
452,417
453,417
454,417
455,417
456,417
457,417
459,417
460,417
462,417
463,417
464,417
465,417
466,417
468,416
469,416
470,416
471,416
472,416
473,416
474,415
475,415
477,414
478,414
479,414
480,414
481,414
482,414
483,414
484,414
486,414
487,414
488,413
489,413
490,413
491,413
492,413
493,413
494,413
496,413
497,413
499,413
500,413
501,413
503,413
504,413
505,412
506,412
507,412
509,412
510,412
511,412
512,412
513,412
514,412
516,412
518,412
519,412
520,412
522,412
523,412
524,412
525,412
526,412
528,412
530,412
531,412
532,412
534,412
535,412
536,411
537,411
538,411
540,411
542,411
544,411
546,411
548,411
550,411
551,411
552,411
553,411
554,411
555,411
556,411
557,411
558,411
559,411
560,411
561,411
562,411
563,411
564,411
565,411
566,411
567,411
568,411
569,411
570,411
571,411
572,411
573,411
574,411
575,411
577,411
579,411
581,411
583,411
585,411
586,411
588,411
589,411
590,412
591,412
592,412
593,412
594,412
596,412
597,412
598,412
599,412
600,412
601,412
602,412
603,412
605,413
607,413
608,413
609,413
611,413
613,413
614,413
615,413
616,413
617,413
618,413
620,413
621,413
624,414
626,414
628,414
630,415
632,415
633,415
634,415
636,415
637,416
639,416
640,416
642,416
643,416
644,416
645,416
647,416
648,416
650,416
652,416
653,416
656,416
657,416
658,416
659,416
660,416
661,417
662,417
663,417
664,417
665,417
666,417
667,417
667,418
668,418
669,418
671,419
672,419
674,419
678,419
679,419
680,419
682,419
683,419
684,419
686,419
688,419
689,419
689,420
690,420
691,421
692,421
693,421
694,422
695,422
695,424
696,425
697,425
698,426
698,427
698,428
698,429
699,430
699,431
700,431
700,432
700,433
700,434
700,435
700,436
700,437
700,438
700,439
700,440
700,442
700,443
700,444
700,445
701,445
701,446
701,447
701,448
701,449
701,450
701,451
701,452
701,454
701,457
701,458
701,459
701,460
701,461
701,462
701,463
701,464
701,465
701,466
701,467
701,469
701,472
701,473
701,474
701,476
701,477
701,478
701,479
701,481
701,482
701,483
701,485
701,487
701,488
701,489
701,490
701,491
701,492
701,494
701,495
701,496
701,497
701,498
701,500
701,501
700,502
700,503
700,504
699,504
699,505
699,506
699,507
699,508
698,509
697,510
697,512
697,513
696,515
696,517
696,518
695,519
695,520
695,521
695,522
695,523
695,524
695,525
695,526
695,527
695,528
695,529
695,530
695,531
696,531
696,532
696,533
696,534
696,535
697,535
697,536
697,537
697,539
698,540
698,542
699,542
699,544
699,545
700,545
700,546
700,547
700,548
700,549
700,550
700,551
700,552
700,553
700,554
700,555
699,556
699,557
699,558
699,559
698,559
698,560
698,561
698,562
697,562
697,563
696,563
695,564
695,565
694,565
694,566
694,567
693,567
692,568
692,569
691,569
690,569
690,570
690,571
689,571
688,572
687,573
687,574
687,575
686,575
685,575
684,575
683,575
682,575
681,575
680,575
679,575
678,575
677,575
676,575
676,576
674,576
673,576
671,576
670,576
668,576
667,576
665,576
664,576
663,576
662,576
660,577
658,577
657,577
655,577
654,577
653,577
651,577
650,577
648,577
647,577
646,577
644,577
643,577
642,577
641,577
640,577
638,577
637,577
636,577
633,577
630,577
630,576
628,576
623,576
620,576
619,576
616,576
614,576
613,576
612,576
609,576
608,576
606,576
604,576
602,576
599,576
596,576
593,576
592,576
589,576
587,576
585,576
584,576
583,576
581,576
580,576
579,576
576,576
573,576
572,576
569,576
568,576
567,576
566,576
565,576
563,576
562,576
561,576
559,576
557,576
556,576
554,576
553,576
552,576
550,576
548,576
546,576
544,576
541,576
538,576
537,576
533,576
531,576
529,576
527,576
526,576
524,576
523,576
522,576
521,576
520,576
518,576
517,576
516,576
514,575
512,575
511,575
509,575
507,575
506,575
504,575
502,575
499,575
498,575
496,574
493,574
489,574
487,574
485,574
482,574
479,574
478,574
477,574
475,574
474,574
472,574
469,574
467,574
465,575
464,575
463,575
462,575
461,575
459,575
458,575
456,576
454,576
453,576
450,576
447,576
446,576
445,576
443,576
442,576
440,576
438,576
437,576
436,575
435,575
433,575
432,575
430,575
429,575
427,575
426,575
425,575
424,575
422,574
419,574
417,573
415,573
414,573
412,573
410,573
409,573
406,572
404,572
403,572
402,572
401,571
400,571
399,571
396,571
394,571
393,571
391,571
390,571
389,571
388,571
386,571
385,571
382,571
379,571
377,571
372,571
371,571
369,571
367,571
366,571
365,572
364,572
363,573
362,574
361,574
360,574
358,575
357,575
356,575
355,575
354,575
353,575
352,575
350,575
349,575
348,575
345,575
344,575
343,575
342,575
341,575
340,575
339,575
338,576
337,576
336,576
335,576
334,577
333,577
332,577
331,578
330,578
330,579
329,579
328,580
327,580
326,580
326,581
325,581
324,581
323,582
322,582
322,583
321,583
320,583
320,584
320,585
319,586
318,586
318,587
318,588
318,589
318,590
318,591
318,592
318,593
318,594
318,595
318,596
318,597
318,598
318,599
318,600
318,601
318,602
318,603
318,604
318,605
318,606
318,607
318,608
318,609
318,610
318,611
318,612
318,613
318,614
318,616
318,617
318,619
318,621
318,623
318,624
318,625
318,626
318,627
318,628
318,629
318,630
318,631
318,632
318,633
318,634
318,636
318,637
318,638
318,639
318,640
318,641
318,642
318,643
318,644
318,645
318,646
319,648
320,649
320,650
320,651
320,652
320,653
320,654
320,655
320,656
320,657
320,658
320,659
321,659
321,660
321,661
321,662
321,663
321,664
321,665
321,667
321,668
321,669
321,670
321,671
321,672
321,673
321,674
321,675
321,676
321,677
321,678
321,679
320,680
320,681
320,682
320,683
319,684
319,685
319,686
319,687
319,688
319,689
318,690
318,691
318,693
318,695
318,696
318,697
318,698
318,699
317,700
317,701
317,702
317,703
317,704
317,705
317,706
317,707
317,708
317,709
317,711
317,713
317,714
317,715
317,717
317,718
317,719
317,720
317,721
317,722
317,723
317,724
317,725
317,726
317,727
317,728
317,729
317,730
317,731
317,732
317,733
317,734
318,734
319,735
319,736
320,736
321,737
321,738
322,739
323,739
325,739
325,740
326,740
327,740
328,740
329,740
331,741
331,742
332,742
333,742
334,742
335,742
336,742
337,742
338,742
340,742
341,742
342,742
343,742
343,743
344,743
345,743
347,743
348,744
349,744
350,744
351,744
351,745
352,745
353,745
354,745
355,746
356,746
358,746
360,746
361,746
362,746
363,746
363,747
364,747
366,748
367,748
368,749
369,749
370,750
372,750
373,750
374,750
375,750
376,750
377,751
379,751
381,752
382,752
383,752
385,752
386,753
387,753
388,753
390,754
391,754
392,754
393,754
394,754
397,754
400,755
401,755
402,755
403,755
404,755
405,755
406,755
407,755
408,755
409,755
410,755
411,755
412,755
413,755
414,755
416,755
417,755
418,755
419,755
420,755
421,755
423,755
424,755
426,755
427,755
428,756
429,756
430,756
432,756
434,756
436,757
438,757
439,757
440,757
441,757
442,757
443,757
445,757
448,757
449,757
452,757
454,757
455,758
458,758
459,758
461,758
463,758
465,758
467,758
468,758
469,758
471,758
471,759
472,759
475,759
476,759
478,759
480,759
482,759
483,759
484,759
485,759
485,760
486,760
489,760
490,760
492,760
493,760
494,760
495,760
496,760
497,760
499,760
500,760
502,760
503,760
505,760
506,760
507,760
508,760
511,760
513,760
514,760
515,760
516,760
517,760
518,760
519,760
520,760
521,759
523,759
526,759
530,759
531,759
532,759
533,759
534,759
535,759
536,759
537,759
538,759
540,759
541,759
542,758
543,758
544,758
545,758
546,758
548,758
550,758
551,758
554,758
556,758
557,758
558,758
559,758
561,758
562,758
563,758
564,758
567,758
568,758
570,758
571,758
573,758
574,758
575,758
576,758
578,758
580,758
581,758
582,758
583,758
585,758
586,758
587,758
589,758
591,758
592,758
592,757
593,757
594,756
595,756
596,756
597,756
598,756
600,756
603,755
604,755
605,755
606,755
607,755
609,755
610,755
611,755
612,755
614,755
615,754
616,754
617,754
618,754
619,754
620,754
621,754
622,754
623,754
624,754
625,754
626,754
627,754
628,754
629,754
630,754
631,754
632,754
633,754
634,754
635,754
636,754
637,754
638,754
638,755
639,755
640,755
641,755
643,755
644,755
645,755
646,755
647,755
648,755
649,755
651,755
652,755
653,755
654,755
655,755
656,755
657,755
658,755
659,755
660,755
661,755
661,754
662,754
663,753
664,753
665,752
666,751
667,750
668,750
669,749
669,748
669,747
670,747
672,747
672,746
672,745
673,745
674,745
675,745
675,744
675,743
676,742
677,741
678,740
678,739
679,739
679,738
680,737
680,736
681,736
681,735
681,733
681,732
682,731
682,730
684,730
684,729
684,727
684,726
684,725
684,724
684,722
684,721
684,720
684,719
684,718
684,717
684,716
684,715
684,713
684,712
684,711
684,710
684,709
684,708
684,707
684,706
684,704
684,702
684,701
684,700
684,699
684,698
684,697
684,696
684,695
684,694
684,692
684,691
684,690
684,689
684,687
684,685
684,684
683,682
683,681
682,681
682,679
682,677
682,676
682,675
682,674
682,673
682,672
682,671
681,670
681,669
681,667
680,664
679,663
679,662
679,660
679,659
679,657
679,656
678,655
678,654
678,653
677,652
677,651
677,650
677,649
677,648
677,647
677,646
677,645
677,644
677,643
677,642
677,641
676,641
676,640
676,639
676,638
676,637
676,636
676,634
676,633
676,632
677,631
677,630
677,629
678,628
679,627
679,626
679,625
680,624
681,624
681,623
682,622
683,622
683,621
683,620
684,619
685,618
686,617
686,616
687,616
688,615
689,615
691,615
692,614
693,614
694,613
695,613
696,613
696,612
697,612
698,612
699,612
700,612
701,612
703,612
704,612
705,612
706,612
707,612
709,612
711,611
713,611
714,611
715,611
716,611
717,611
719,611
719,612
720,612
722,612
723,612
724,612
725,612
726,612
727,612
728,612
729,612
730,612
731,612
732,612
733,612
734,612
735,612
737,612
738,612
739,612
741,612
743,612
744,612
745,612
