X,Y
1095,499
1095,498
1095,497
1095,496
1095,495
1095,494
1095,493
1095,492
1095,491
1095,489
1095,488
1095,487
1096,487
1096,486
1097,485
1097,484
1098,483
1098,482
1098,481
1098,480
1099,480
1099,479
1100,479
1101,478
1102,478
1103,478
1104,478
1104,477
1105,477
1106,477
1107,477
1108,476
1109,476
1110,476
1111,475
1112,475
1113,475
1114,475
1115,475
1116,475
1117,475
1118,475
1119,475
1121,475
1122,475
1123,475
1124,475
1125,475
1126,475
1127,475
1128,475
1131,475
1133,475
1135,475
1138,475
1140,475
1142,476
1143,476
1145,476
1146,476
1147,477
1148,477
1150,477
1152,477
1154,477
1155,477
1156,477
1157,477
1159,477
1160,477
1161,477
1162,477
1163,477
1165,478
1166,478
1167,478
1168,478
1170,479
1171,479
1172,479
1173,479
1173,480
1174,480
1175,480
1177,480
1178,480
1180,480
1181,480
1182,480
1183,480
1184,480
1185,480
1186,480
1187,480
1188,480
1190,480
1191,480
1192,480
1193,480
1194,480
1195,480
1196,480
1198,480
1200,480
1201,480
1202,480
1203,480
1204,480
1205,480
1206,480
1207,480
1208,480
1209,480
1210,480
1211,480
1212,480
1214,480
1215,480
1217,480
1218,480
1219,480
1220,480
1221,480
1222,480
1222,479
1223,479
1223,478
1224,478
1226,477
1226,476
1227,476
1228,475
1229,474
1231,474
1232,473
1233,472
1233,471
1235,470
1235,469
1236,468
1237,468
1238,467
1241,463
1241,462
1243,460
1244,457
1245,456
1246,454
1247,452
1248,449
1249,447
1250,446
1250,445
1252,443
1253,441
1254,439
1254,437
1255,435
1255,434
1255,433
1256,431
1256,430
1257,429
1257,427
1258,426
1258,425
1259,424
1259,422
1260,421
1261,421
1262,418
1263,416
1263,415
1263,414
1264,413
1264,412
1265,411
1265,410
1266,410
1267,408
1267,407
1267,406
1268,405
1269,404
1270,404
1270,403
1271,401
1272,401
1273,400
1273,399
1273,398
1274,398
1275,398
1275,397
1276,397
1277,396
1278,396
1280,396
1281,396
1282,396
1284,395
1286,395
1287,395
1289,395
1294,395
1295,395
1296,394
1299,394
1301,394
1302,394
1304,394
1305,394
1306,394
1307,394
1308,394
1309,394
1310,394
1311,394
1312,394
1313,394
1315,394
1317,394
1318,394
1319,394
1321,394
1323,394
1324,394
1325,394
1326,394
1328,394
1329,394
1332,394
1334,394
1336,394
1337,394
1339,394
1340,394
1341,394
1342,394
1344,394
1345,394
1347,394
1349,394
1350,394
1351,394
1352,394
1353,394
1355,394
1357,394
1358,394
1359,394
1360,394
1361,394
1362,394
1363,394
1364,394
1366,394
1367,394
1368,394
1369,394
1370,394
1371,394
1372,394
1373,394
1374,394
1375,394
1376,392
1376,390
1377,387
1378,385
1379,384
1380,383
1380,381
1380,379
1380,377
1380,376
1380,375
1380,374
1380,373
1380,372
1380,371
1380,370
1380,369
1380,368
1380,367
1380,366
1380,365
1380,364
1380,362
1380,361
1380,360
1380,359
1380,358
1380,357
1380,355
1381,353
1381,352
1382,351
1382,349
1382,347
1382,345
1382,344
1382,342
1383,342
1383,341
1383,340
1383,339
1383,338
1383,337
1383,335
1383,333
1383,331
1383,330
1383,327
1383,325
1383,324
1383,323
1384,321
1384,320
1385,319
1385,318
1386,318
1386,316
1386,315
1386,314
1386,312
1386,311
1386,310
1386,309
1386,308
1386,307
1386,306
1386,305
1386,304
1386,303
1386,301
1386,300
1386,299
1386,298
1386,297
1386,296
1386,295
1386,294
1386,292
1386,291
1386,290
1386,287
1386,286
1385,284
1385,283
1385,282
1384,282
1384,281
1384,280
1384,279
1384,278
1384,277
1384,275
1384,274
1384,273
1384,272
1384,271
1384,270
1384,269
1383,269
1383,268
1383,267
1383,266
1383,265
1383,264
1383,262
1383,261
1383,260
1383,258
1383,257
1383,255
1383,254
1383,252
1383,250
