SSID,Channel,Frequency,MAC,RSS,Timestamp
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-99,1041
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-94,6045
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-95,11046
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-98,16043
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-96,21025
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-96,26050
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-96,31024
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-91,36059
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-90,41208
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-90,46034
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-91,51063
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-94,56039
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-83,61039
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-82,66059
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-78,71057
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-79,76059
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-77,81059
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-76,86066
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-70,91060
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-70,96070
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-74,101041
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-64,106063
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-53,111040
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-62,116045
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-69,121048
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-69,126042
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-69,131043
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-68,134228
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-66,136064
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-70,141064
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-77,146006
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-70,151049
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-71,156063
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-71,161030
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-86,166042
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-91,171042
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-95,176048
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-95,181074
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-95,186059
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-98,191068
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-96,196074
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-96,201038
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-96,206058
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-96,211042
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-96,216059
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-96,221038
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-96,226062
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-96,231056
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-94,236062
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-96,241061
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-102,246066
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-98,251062
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-99,256064
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-99,261044
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-98,266065
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-87,271059
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-85,276062
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-91,281064
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-86,286067
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-81,291066
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-95,296105
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-90,301080
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-91,306077
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-92,311103
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-92,316104
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-90,321100
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-95,326074
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-95,331097
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-95,336104
CiscoLinksysE1201,6,2437,c8:b3:73:0e:cb:16,-96,341106
