SSID,Channel,Frequency,MAC,RSS,Timestamp
CiscoLinksysE1203,6,2437,40:16:7e:c4:40:e4,-44,1047
CiscoLinksysE1203,6,2437,40:16:7e:c4:40:e4,-48,6055
CiscoLinksysE1203,6,2437,40:16:7e:c4:40:e4,-64,11056
CiscoLinksysE1203,6,2437,40:16:7e:c4:40:e4,-66,16050
CiscoLinksysE1203,6,2437,40:16:7e:c4:40:e4,-66,21046
CiscoLinksysE1203,6,2437,40:16:7e:c4:40:e4,-73,26056
CiscoLinksysE1203,6,2437,40:16:7e:c4:40:e4,-85,31031
CiscoLinksysE1203,6,2437,40:16:7e:c4:40:e4,-79,36067
CiscoLinksysE1203,6,2437,40:16:7e:c4:40:e4,-84,41212
CiscoLinksysE1203,6,2437,40:16:7e:c4:40:e4,-87,46039
CiscoLinksysE1203,6,2437,40:16:7e:c4:40:e4,-88,51066
CiscoLinksysE1203,6,2437,40:16:7e:c4:40:e4,-94,56043
CiscoLinksysE1203,6,2437,40:16:7e:c4:40:e4,-91,61043
CiscoLinksysE1203,6,2437,40:16:7e:c4:40:e4,-92,66064
CiscoLinksysE1203,6,2437,40:16:7e:c4:40:e4,-94,71061
CiscoLinksysE1203,6,2437,40:16:7e:c4:40:e4,-90,76063
CiscoLinksysE1203,6,2437,40:16:7e:c4:40:e4,-87,81062
CiscoLinksysE1203,6,2437,40:16:7e:c4:40:e4,-98,86071
CiscoLinksysE1203,6,2437,40:16:7e:c4:40:e4,-98,91063
CiscoLinksysE1203,6,2437,40:16:7e:c4:40:e4,-95,96073
CiscoLinksysE1203,6,2437,40:16:7e:c4:40:e4,-99,101045
CiscoLinksysE1203,6,2437,40:16:7e:c4:40:e4,-99,106067
CiscoLinksysE1203,6,2437,40:16:7e:c4:40:e4,-99,111045
CiscoLinksysE1203,6,2437,40:16:7e:c4:40:e4,-99,116050
CiscoLinksysE1203,6,2437,40:16:7e:c4:40:e4,-100,181064
CiscoLinksysE1203,6,2437,40:16:7e:c4:40:e4,-100,186052
CiscoLinksysE1203,6,2437,40:16:7e:c4:40:e4,-100,191061
CiscoLinksysE1203,6,2437,40:16:7e:c4:40:e4,-100,196068
CiscoLinksysE1203,6,2437,40:16:7e:c4:40:e4,-88,226054
CiscoLinksysE1203,6,2437,40:16:7e:c4:40:e4,-96,231051
CiscoLinksysE1203,6,2437,40:16:7e:c4:40:e4,-90,236058
CiscoLinksysE1203,6,2437,40:16:7e:c4:40:e4,-90,241056
CiscoLinksysE1203,6,2437,40:16:7e:c4:40:e4,-99,246060
CiscoLinksysE1203,6,2437,40:16:7e:c4:40:e4,-99,251057
CiscoLinksysE1203,6,2437,40:16:7e:c4:40:e4,-99,256058
CiscoLinksysE1203,6,2437,40:16:7e:c4:40:e4,-99,261037
CiscoLinksysE1203,6,2437,40:16:7e:c4:40:e4,-98,266060
CiscoLinksysE1203,6,2437,40:16:7e:c4:40:e4,-98,271054
CiscoLinksysE1203,6,2437,40:16:7e:c4:40:e4,-83,276058
CiscoLinksysE1203,6,2437,40:16:7e:c4:40:e4,-80,281057
CiscoLinksysE1203,6,2437,40:16:7e:c4:40:e4,-90,286061
CiscoLinksysE1203,6,2437,40:16:7e:c4:40:e4,-80,291059
CiscoLinksysE1203,6,2437,40:16:7e:c4:40:e4,-74,296098
CiscoLinksysE1203,6,2437,40:16:7e:c4:40:e4,-78,301076
CiscoLinksysE1203,6,2437,40:16:7e:c4:40:e4,-76,306071
CiscoLinksysE1203,6,2437,40:16:7e:c4:40:e4,-76,311098
CiscoLinksysE1203,6,2437,40:16:7e:c4:40:e4,-68,316101
CiscoLinksysE1203,6,2437,40:16:7e:c4:40:e4,-71,321095
CiscoLinksysE1203,6,2437,40:16:7e:c4:40:e4,-68,326072
CiscoLinksysE1203,6,2437,40:16:7e:c4:40:e4,-54,331095
CiscoLinksysE1203,6,2437,40:16:7e:c4:40:e4,-49,336101
CiscoLinksysE1203,6,2437,40:16:7e:c4:40:e4,-48,341104
